0.0000 44.7256 4294967295.//// 0.3709 13.8575 3.2275 -4294967295.//// 6342
0.0070 0.3630 43.2255 3.6044 18.6887 0.0194 99.9420 21134
0.0070 0.3723 44.3338 3.6049 18.6887 0.0199 99.9405 21184
0.0070 0.3723 44.3338 3.6049 18.6887 0.0199 99.9405 21235
0.0060 0.3723 51.7228 3.6049 18.6887 0.0199 99.9306 21285
0.0070 0.3723 44.3308 3.6033 18.6875 0.0199 99.9405 21335
0.0070 0.3723 44.3308 3.6033 18.6875 0.0199 99.9405 21385
0.0060 0.3723 51.7193 3.6033 18.6875 0.0199 99.9306 21435
0.0070 0.3629 43.2197 3.6011 18.6863 0.0194 99.9420 21485
0.0060 0.3629 50.4230 3.6011 18.6863 0.0194 99.9324 21535
0.0070 0.3629 43.2197 3.6011 18.6863 0.0194 99.9420 21585
0.0070 0.3722 44.3279 3.6016 18.6863 0.0199 99.9405 21635
0.0050 0.3722 62.0590 3.6016 18.6863 0.0199 99.9168 21685
0.0060 0.3722 51.7124 3.5999 18.6850 0.0199 99.9306 21735
0.0060 0.3722 51.7124 3.5999 18.6850 0.0199 99.9306 21785
0.0080 0.3722 38.7843 3.5999 18.6850 0.0199 99.9480 21836
0.0060 0.3722 51.7089 3.5983 18.6838 0.0199 99.9306 21886
0.0070 0.3722 44.3219 3.5983 18.6838 0.0199 99.9405 21936
0.0080 0.3722 38.7817 3.5983 18.6838 0.0199 99.9480 21986
0.0080 0.3722 38.7791 3.5966 18.6825 0.0199 99.9480 22036
0.0080 0.3722 38.7791 3.5966 18.6825 0.0199 99.9480 22086
0.0080 0.3722 38.7791 3.5966 18.6825 0.0199 99.9480 22136
0.0080 0.3722 38.7791 3.5966 18.6825 0.0199 99.9480 22186
0.0070 0.3722 44.3190 3.5966 18.6825 0.0199 99.9405 22236
0.0080 0.3721 38.7765 3.5949 18.6812 0.0199 99.9480 22286
0.0080 0.3721 38.7765 3.5949 18.6812 0.0199 99.9480 22336
0.0070 0.3721 44.3160 3.5949 18.6812 0.0199 99.9405 22387
0.0060 0.3628 50.4061 3.5928 18.6800 0.0194 99.9324 22437
0.0090 0.3628 33.6041 3.5928 18.6800 0.0194 99.9549 22487
0.0080 0.3628 37.8046 3.5928 18.6800 0.0194 99.9493 22537
0.0060 0.3721 51.6951 3.5916 18.6787 0.0199 99.9306 22587
0.0080 0.3721 38.7713 3.5916 18.6787 0.0199 99.9480 22637
0.0070 0.3721 44.3101 3.5916 18.6787 0.0199 99.9405 22687
0.0080 0.3814 39.7380 3.5904 18.6775 0.0204 99.9467 22737
0.0070 0.3814 45.4148 3.5904 18.6775 0.0204 99.9391 22787
0.0070 0.3814 45.4148 3.5904 18.6775 0.0204 99.9391 22837
0.0080 0.3720 38.7661 3.5883 18.6763 0.0199 99.9480 22887
0.0080 0.3720 38.7661 3.5883 18.6763 0.0199 99.9480 22937
0.0070 0.3720 44.3042 3.5883 18.6763 0.0199 99.9405 22987
0.0080 0.3720 38.7661 3.5883 18.6763 0.0199 99.9480 23038
0.0080 0.3720 38.7661 3.5883 18.6763 0.0199 99.9480 23088
0.0060 0.3720 51.6847 3.5866 18.6750 0.0199 99.9306 23138
0.0070 0.3720 44.3012 3.5866 18.6750 0.0199 99.9405 23188
0.0060 0.3720 51.6847 3.5866 18.6750 0.0199 99.9306 23238
0.0080 0.3720 38.7609 3.5849 18.6737 0.0199 99.9480 23288
0.0070 0.3720 44.2982 3.5849 18.6737 0.0199 99.9405 23338
0.0080 0.3720 38.7609 3.5849 18.6737 0.0199 99.9480 23388
0.0080 0.3627 37.7894 3.5828 18.6725 0.0194 99.9493 23438
0.0060 0.3627 50.3859 3.5828 18.6725 0.0194 99.9324 23488
0.0070 0.3719 44.2923 3.5816 18.6712 0.0199 99.9405 23538
0.0070 0.3719 44.2923 3.5816 18.6712 0.0199 99.9405 23589
0.0070 0.3719 44.2923 3.5816 18.6712 0.0199 99.9405 23639
0.0060 0.3719 51.6709 3.5799 18.6700 0.0199 99.9306 23689
0.0090 0.3719 34.4473 3.5799 18.6700 0.0199 99.9538 23739
0.0060 0.3719 51.6709 3.5799 18.6700 0.0199 99.9306 23789
0.0070 0.3719 44.2893 3.5799 18.6700 0.0199 99.9405 23839
0.0060 0.3719 51.6709 3.5799 18.6700 0.0199 99.9306 23889
0.0070 0.3719 44.2893 3.5799 18.6700 0.0199 99.9405 23939
0.0060 0.3719 51.6674 3.5783 18.6688 0.0199 99.9306 23989
0.0070 0.3719 44.2864 3.5783 18.6688 0.0199 99.9405 24039
0.0070 0.3719 44.2834 3.5766 18.6675 0.0199 99.9405 24089
0.0070 0.3719 44.2834 3.5766 18.6675 0.0199 99.9405 24140
0.0100 0.3719 30.9984 3.5766 18.6675 0.0199 99.9584 24190
0.0080 0.3811 39.7140 3.5754 18.6663 0.0204 99.9467 24240
0.0070 0.3811 45.3874 3.5754 18.6663 0.0204 99.9391 24290
0.0080 0.3811 39.7140 3.5754 18.6663 0.0204 99.9467 24340
0.0080 0.3625 37.7742 3.5728 18.6650 0.0194 99.9493 24390
0.0080 0.3625 37.7742 3.5728 18.6650 0.0194 99.9493 24440
0.0070 0.3625 43.1705 3.5728 18.6650 0.0194 99.9420 24490
0.0070 0.3718 44.2775 3.5733 18.6650 0.0199 99.9405 24540
0.0070 0.3718 44.2775 3.5733 18.6650 0.0199 99.9405 24590
0.0060 0.3718 51.6571 3.5733 18.6650 0.0199 99.9306 24640
0.0070 0.3718 44.2745 3.5716 18.6637 0.0199 99.9405 24691
0.0070 0.3718 44.2745 3.5716 18.6637 0.0199 99.9405 24741
0.0060 0.3718 51.6501 3.5699 18.6625 0.0199 99.9306 24791
0.0070 0.3718 44.2715 3.5699 18.6625 0.0199 99.9405 24841
0.0080 0.3718 38.7376 3.5699 18.6625 0.0199 99.9480 24891
0.0070 0.3625 43.1648 3.5694 18.6625 0.0194 99.9420 24941
0.0070 0.3625 43.1648 3.5694 18.6625 0.0194 99.9420 24991
0.0070 0.3625 43.1648 3.5694 18.6625 0.0194 99.9420 25041
0.0080 0.3717 38.7350 3.5683 18.6612 0.0199 99.9480 25091
0.0070 0.3717 44.2686 3.5683 18.6612 0.0199 99.9405 25141
0.0070 0.3717 44.2686 3.5683 18.6612 0.0199 99.9405 25191
0.0060 0.3717 51.6432 3.5666 18.6600 0.0199 99.9306 25241
0.0060 0.3717 51.6432 3.5666 18.6600 0.0199 99.9306 25292
0.0070 0.3624 43.1590 3.5661 18.6600 0.0194 99.9420 25342
0.0070 0.3624 43.1590 3.5661 18.6600 0.0194 99.9420 25392
0.0060 0.3624 50.3521 3.5661 18.6600 0.0194 99.9324 25442
0.0070 0.3717 44.2626 3.5649 18.6588 0.0199 99.9405 25492
0.0080 0.3717 38.7298 3.5649 18.6588 0.0199 99.9480 25542
0.0070 0.3717 44.2626 3.5649 18.6588 0.0199 99.9405 25592
0.0080 0.3809 39.6954 3.5638 18.6575 0.0204 99.9467 25642
0.0090 0.3809 35.2848 3.5638 18.6575 0.0204 99.9526 25692
0.0070 0.3809 45.3662 3.5638 18.6575 0.0204 99.9391 25742
0.0070 0.3717 44.2597 3.5633 18.6575 0.0199 99.9405 25792
0.0070 0.3717 44.2597 3.5633 18.6575 0.0199 99.9405 25843
0.0080 0.3716 38.7246 3.5616 18.6563 0.0199 99.9480 25893
0.0070 0.3716 44.2567 3.5616 18.6563 0.0199 99.9405 25943
0.0070 0.3716 44.2567 3.5616 18.6563 0.0199 99.9405 25993
